Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,171.04,171.05,170.25,170.36,1808907,0
2017-11-17,15:40:00,170.36,170.41,170.06,170.06,481179,0
2017-11-17,15:45:00,170.06,170.29,169.83,170.25,580184,0
2017-11-17,15:50:00,170.26,170.28,169.97,169.97,356061,0
2017-11-17,15:55:00,169.98,170.19,169.93,170.1432,405302,0
2017-11-17,16:00:00,170.14,170.17,169.93,170.09,414818,0
2017-11-17,16:05:00,170.085,170.12,169.83,170.02,327844,0
2017-11-17,16:10:00,170.01,170.255,169.94,170.2503,253899,0
2017-11-17,16:15:00,170.255,170.5099,170.255,170.35,378186,0
2017-11-17,16:20:00,170.34,170.59,170.24,170.506,253092,0
2017-11-17,16:25:00,170.5,170.53,170.4,170.4159,260253,0
2017-11-17,16:30:00,170.41,170.58,170.36,170.56,192481,0
2017-11-17,16:35:00,170.56,170.5753,170.47,170.55,205252,0
2017-11-17,16:40:00,170.55,170.79,170.5344,170.7599,287709,0
2017-11-17,16:45:00,170.754,171.1499,170.75,171.14,429144,0
2017-11-17,16:50:00,171.13,171.39,170.92,170.9893,541636,0
2017-11-17,16:55:00,170.9897,171.08,170.86,170.91,308370,0
2017-11-17,17:00:00,170.91,170.92,170.75,170.8815,328535,0
2017-11-17,17:05:00,170.88,170.92,170.74,170.75,159213,0
2017-11-17,17:10:00,170.745,170.8101,170.51,170.54,198159,0
2017-11-17,17:15:00,170.5399,170.59,170.26,170.51,267340,0
2017-11-17,17:20:00,170.5033,170.8,170.3,170.74,335596,0
2017-11-17,17:25:00,170.73,170.77,170.4401,170.56,213120,0
2017-11-17,17:30:00,170.56,170.73,170.51,170.69,139005,0
2017-11-17,17:35:00,170.68,170.792,170.65,170.792,112561,0
2017-11-17,17:40:00,170.7998,170.8,170.58,170.69,138037,0
2017-11-17,17:45:00,170.695,170.78,170.63,170.77,118596,0
2017-11-17,17:50:00,170.765,170.89,170.71,170.846,126990,0
2017-11-17,17:55:00,170.855,170.8775,170.68,170.7487,138661,0
2017-11-17,18:00:00,170.75,170.76,170.58,170.74,87463,0
2017-11-17,18:05:00,170.7272,170.7338,170.54,170.58,108018,0
2017-11-17,18:10:00,170.5751,170.65,170.492,170.5497,149871,0
2017-11-17,18:15:00,170.545,170.74,170.51,170.72,110295,0
2017-11-17,18:20:00,170.7257,170.7257,170.59,170.65,88770,0
2017-11-17,18:25:00,170.65,170.67,170.56,170.63,64489,0
2017-11-17,18:30:00,170.63,170.72,170.59,170.6599,106703,0
2017-11-17,18:35:00,170.65,170.655,170.47,170.61,108050,0
2017-11-17,18:40:00,170.61,170.68,170.55,170.65,79615,0
2017-11-17,18:45:00,170.66,170.69,170.585,170.6662,79255,0
2017-11-17,18:50:00,170.67,170.7,170.46,170.481,105799,0
2017-11-17,18:55:00,170.49,170.53,170.36,170.43,118030,0
2017-11-17,19:00:00,170.45,170.62,170.447,170.5858,82650,0
2017-11-17,19:05:00,170.592,170.6,170.45,170.5784,73643,0
2017-11-17,19:10:00,170.58,170.58,170.31,170.355,167959,0
2017-11-17,19:15:00,170.36,170.52,170.36,170.5,95603,0
2017-11-17,19:20:00,170.5,170.515,170.34,170.37,89957,0
2017-11-17,19:25:00,170.38,170.45,170.33,170.42,93848,0
2017-11-17,19:30:00,170.41,170.47,170.34,170.4699,55738,0
2017-11-17,19:35:00,170.46,170.5407,170.42,170.47,64591,0
2017-11-17,19:40:00,170.47,170.54,170.43,170.53,63388,0
2017-11-17,19:45:00,170.539,170.55,170.47,170.51,45347,0
2017-11-17,19:50:00,170.5199,170.55,170.46,170.479,109320,0
2017-11-17,19:55:00,170.4723,170.49,170.4,170.4,59644,0
2017-11-17,20:00:00,170.41,170.41,170.22,170.3793,141855,0
2017-11-17,20:05:00,170.38,170.429,170.36,170.37,86179,0
2017-11-17,20:10:00,170.3734,170.3734,170.24,170.2799,101947,0
2017-11-17,20:15:00,170.274,170.2899,170.085,170.118,175697,0
2017-11-17,20:20:00,170.1095,170.18,170.02,170.1552,129114,0
2017-11-17,20:25:00,170.16,170.25,170.13,170.154,124399,0
2017-11-17,20:30:00,170.155,170.2499,170.14,170.2499,69683,0
2017-11-17,20:35:00,170.2301,170.3286,170.21,170.29,108887,0
2017-11-17,20:40:00,170.29,170.34,170.24,170.3378,113214,0
2017-11-17,20:45:00,170.33,170.3808,170.2335,170.35,108299,0
2017-11-17,20:50:00,170.355,170.38,170.3,170.33,71965,0
2017-11-17,20:55:00,170.33,170.35,170.2,170.21,109530,0
2017-11-17,21:00:00,170.21,170.28,170.16,170.2,109836,0
2017-11-17,21:05:00,170.2,170.21,170.12,170.15,133498,0
2017-11-17,21:10:00,170.15,170.2,170.08,170.1646,150031,0
2017-11-17,21:15:00,170.17,170.2,170.06,170.07,87380,0
2017-11-17,21:20:00,170.06,170.14,170.01,170.11,143371,0
2017-11-17,21:25:00,170.11,170.21,170.055,170.2,135472,0
2017-11-17,21:30:00,170.2,170.27,170.17,170.24,209311,0
2017-11-17,21:35:00,170.24,170.24,170.15,170.1657,108635,0
2017-11-17,21:40:00,170.1648,170.225,170.13,170.205,129864,0
2017-11-17,21:45:00,170.2048,170.21,169.77,169.79,421089,0
