Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,97.24,97.32,97.24,97.3,17176,0
2017-11-17,15:40:00,97.35,97.39,97.32,97.3748,4085,0
2017-11-17,15:45:00,97.3432,97.348,97.32,97.348,823,0
2017-11-17,15:50:00,97.34,97.3828,97.28,97.3828,4447,0
2017-11-17,15:55:00,97.41,97.44,97.41,97.4299,1630,0
2017-11-17,16:00:00,97.421,97.44,97.4051,97.4199,1655,0
2017-11-17,16:05:00,97.4,97.41,97.38,97.41,1176,0
2017-11-17,16:10:00,97.42,97.49,97.42,97.47,55831,0
2017-11-17,16:15:00,97.4576,97.4576,97.375,97.39,62677,0
2017-11-17,16:20:00,97.38,97.405,97.3386,97.4,60073,0
2017-11-17,16:25:00,97.41,97.46,97.3957,97.45,6273,0
2017-11-17,16:30:00,97.44,97.45,97.425,97.44,2469,0
2017-11-17,16:35:00,97.43,97.43,97.3601,97.4,11423,0
2017-11-17,16:40:00,97.41,97.42,97.4,97.42,3774,0
2017-11-17,16:45:00,97.3852,97.401,97.3601,97.3901,1395,0
2017-11-17,16:50:00,97.4,97.417,97.4,97.4099,698,0
2017-11-17,16:55:00,97.4,97.4593,97.4,97.455,2611,0
2017-11-17,17:00:00,97.45,97.455,97.43,97.44,12639,0
2017-11-17,17:05:00,97.439,97.45,97.41,97.431,1459,0
2017-11-17,17:10:00,97.4199,97.42,97.38,97.38,64578,0
2017-11-17,17:15:00,97.3738,97.39,97.3641,97.39,3344,0
2017-11-17,17:20:00,97.39,97.39,97.39,97.39,1025,0
2017-11-17,17:25:00,97.3656,97.4006,97.355,97.3957,1678,0
2017-11-17,17:30:00,97.3952,97.3952,97.37,97.3931,1117,0
2017-11-17,17:35:00,97.4,97.42,97.3931,97.42,1791,0
2017-11-17,17:40:00,97.399,97.399,97.37,97.372,2257,0
2017-11-17,17:45:00,97.4199,97.4672,97.4005,97.46,4713,0
2017-11-17,17:50:00,97.4601,97.481,97.4601,97.48,398,0
2017-11-17,17:55:00,97.477,97.477,97.45,97.47,2522,0
2017-11-17,18:00:00,97.48,97.4914,97.47,97.48,6924,0
2017-11-17,18:05:00,97.4999,97.4999,97.45,97.45,1298,0
2017-11-17,18:10:00,97.46,97.5,97.46,97.5,1879,0
2017-11-17,18:15:00,97.49,97.515,97.49,97.515,1293,0
2017-11-17,18:20:00,97.5195,97.54,97.5195,97.53,2582,0
2017-11-17,18:25:00,97.5438,97.549,97.5258,97.5258,2389,0
2017-11-17,18:30:00,97.53,97.55,97.525,97.5311,2606,0
2017-11-17,18:35:00,97.5112,97.523,97.5112,97.523,4106,0
2017-11-17,18:40:00,97.53,97.55,97.5251,97.55,1369,0
2017-11-17,18:45:00,97.56,97.57,97.5444,97.57,842,0
2017-11-17,18:50:00,97.57,97.57,97.54,97.5531,2130,0
2017-11-17,18:55:00,97.5666,97.5666,97.54,97.54,1065,0
2017-11-17,19:00:00,97.56,97.58,97.56,97.58,1432,0
2017-11-17,19:05:00,97.5762,97.6,97.56,97.59,4183,0
2017-11-17,19:10:00,97.561,97.561,97.5427,97.55,860,0
2017-11-17,19:15:00,97.53,97.5428,97.53,97.54,1000,0
2017-11-17,19:20:00,97.519,97.5357,97.519,97.525,1248,0
2017-11-17,19:25:00,97.5101,97.5101,97.509,97.509,946,0
2017-11-17,19:30:00,97.49,97.5058,97.48,97.5037,2340,0
2017-11-17,19:35:00,97.5158,97.52,97.51,97.52,2630,0
2017-11-17,19:40:00,97.525,97.57,97.52,97.55,5238,0
2017-11-17,19:45:00,97.55,97.55,97.54,97.5428,4557,0
2017-11-17,19:50:00,97.5419,97.55,97.5315,97.54,3193,0
2017-11-17,19:55:00,97.5553,97.5553,97.54,97.54,203,0
2017-11-17,20:00:00,97.5258,97.5399,97.5257,97.5353,2811,0
2017-11-17,20:05:00,97.5331,97.5458,97.53,97.5458,1004,0
2017-11-17,20:10:00,97.545,97.55,97.53,97.55,4600,0
