Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,259.88,260.1,259.85,259.94,169620,0
2017-11-17,15:40:00,259.95,260.09,259.9,259.97,19127,0
2017-11-17,15:45:00,259.97,259.97,259.88,259.94,11448,0
2017-11-17,15:50:00,259.93,260,259.72,259.96,25863,0
2017-11-17,15:55:00,259.97,260.08,259.97,260.0515,20112,0
2017-11-17,16:00:00,260.03,260.07,259.965,260.06,13862,0
2017-11-17,16:05:00,260.04,260.06,259.88,260,48933,0
2017-11-17,16:10:00,260.03,260.19,260.02,260.13,30813,0
2017-11-17,16:15:00,260.12,260.12,259.93,259.96,14870,0
2017-11-17,16:20:00,259.9472,260.01,259.8,259.96,49955,0
2017-11-17,16:25:00,259.96,260.07,259.93,260.03,148421,0
2017-11-17,16:30:00,260.01,260.01,259.9,259.96,11860,0
2017-11-17,16:35:00,259.97,259.98,259.8,259.88,55820,0
2017-11-17,16:40:00,259.87,259.9739,259.87,259.8956,33212,0
2017-11-17,16:45:00,259.9,259.9952,259.88,259.9952,15534,0
2017-11-17,16:50:00,259.98,259.98,259.93,259.93,6651,0
2017-11-17,16:55:00,259.93,260.1,259.93,260.05,10445,0
2017-11-17,17:00:00,260.0505,260.06,259.99,260.01,18893,0
2017-11-17,17:05:00,260.01,260.06,259.99,260.02,13729,0
2017-11-17,17:10:00,260.02,260.02,259.83,259.83,19011,0
2017-11-17,17:15:00,259.8,259.83,259.66,259.8259,14998,0
2017-11-17,17:20:00,259.8101,259.89,259.8101,259.85,14988,0
2017-11-17,17:25:00,259.8366,259.95,259.79,259.93,15808,0
2017-11-17,17:30:00,259.9265,259.94,259.8747,259.9,5502,0
2017-11-17,17:35:00,259.91,259.95,259.88,259.93,15637,0
2017-11-17,17:40:00,259.92,259.929,259.79,259.83,5346,0
2017-11-17,17:45:00,259.82,260.02,259.81,260.003,7858,0
2017-11-17,17:50:00,260.0234,260.04,259.98,260,7036,0
2017-11-17,17:55:00,260.0199,260.0199,259.925,259.95,7178,0
2017-11-17,18:00:00,259.985,260,259.885,260,11375,0
2017-11-17,18:05:00,259.95,259.96,259.8676,259.8924,36436,0
2017-11-17,18:10:00,259.86,259.94,259.85,259.9297,9620,0
2017-11-17,18:15:00,259.94,260.01,259.91,260.004,16816,0
2017-11-17,18:20:00,260.0185,260.06,260,260.0505,9891,0
2017-11-17,18:25:00,260.06,260.06,260.02,260.03,11443,0
2017-11-17,18:30:00,260.011,260.1,260.011,260.1,9844,0
2017-11-17,18:35:00,260.1,260.1,259.98,260.035,17523,0
2017-11-17,18:40:00,260.0305,260.07,260.01,260.07,13019,0
2017-11-17,18:45:00,260.1,260.11,260.02,260.071,129903,0
2017-11-17,18:50:00,260.0832,260.09,259.97,260.0066,10636,0
2017-11-17,18:55:00,260.0374,260.04,259.96,259.96,5804,0
2017-11-17,19:00:00,259.98,260.07,259.98,260.06,12691,0
2017-11-17,19:05:00,260.05,260.095,259.98,260.057,25945,0
2017-11-17,19:10:00,260.07,260.07,259.91,259.94,12298,0
2017-11-17,19:15:00,259.94,259.99,259.94,259.99,16079,0
2017-11-17,19:20:00,259.985,260,259.92,259.92,47294,0
2017-11-17,19:25:00,259.92,259.95,259.91,259.9256,10650,0
2017-11-17,19:30:00,259.91,259.97,259.86,259.97,14352,0
2017-11-17,19:35:00,259.96,259.99,259.92,259.979,16598,0
2017-11-17,19:40:00,259.97,260.055,259.95,260.05,12331,0
2017-11-17,19:45:00,260.04,260.0532,260.0053,260.0053,6516,0
2017-11-17,19:50:00,260.0399,260.04,259.9853,260,15550,0
2017-11-17,19:55:00,260.02,260.05,260,260.0365,10468,0
2017-11-17,20:00:00,260.0358,260.0358,259.977,259.999,5674,0
2017-11-17,20:05:00,260,260.01,259.97,259.9915,11739,0
2017-11-17,20:10:00,259.989,260.02,259.95,260.01,43435,0
2017-11-17,20:15:00,260.02,260.04,259.97,259.99,16592,0
2017-11-17,20:20:00,259.99,259.99,259.91,259.95,14475,0
2017-11-17,20:25:00,259.931,259.96,259.9,259.9065,4292,0
2017-11-17,20:30:00,259.9085,259.9405,259.86,259.93,14380,0
2017-11-17,20:35:00,259.95,259.97,259.91,259.92,11886,0
