Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-17,15:35:00,237.17,237.29,237.07,237.16,67458,0
2017-11-17,15:40:00,237.16,237.28,237.14,237.2,13428,0
2017-11-17,15:45:00,237.17,237.17,237.1,237.16,5353,0
2017-11-17,15:50:00,237.13,237.1977,236.95,237.1799,23217,0
2017-11-17,15:55:00,237.1751,237.2799,237.1751,237.26,6982,0
2017-11-17,16:00:00,237.23,237.28,237.18,237.26,5886,0
2017-11-17,16:05:00,237.2492,237.26,237.11,237.22,13295,0
2017-11-17,16:10:00,237.2332,237.39,237.22,237.33,21661,0
2017-11-17,16:15:00,237.32,237.32,237.13,237.17,16007,0
2017-11-17,16:20:00,237.14,237.21,237.02,237.16,20470,0
2017-11-17,16:25:00,237.172,237.28,237.16,237.25,14615,0
2017-11-17,16:30:00,237.2311,237.2311,237.12,237.18,6297,0
2017-11-17,16:35:00,237.18,237.18,237.02,237.11,10536,0
2017-11-17,16:40:00,237.1199,237.18,237.105,237.105,1814,0
2017-11-17,16:45:00,237.11,237.1899,237.1,237.188,2662,0
2017-11-17,16:50:00,237.19,237.19,237.14,237.169,4297,0
2017-11-17,16:55:00,237.15,237.3,237.14,237.25,12018,0
2017-11-17,17:00:00,237.2439,237.26,237.1826,237.2099,14379,0
2017-11-17,17:05:00,237.21,237.259,237.21,237.23,13448,0
2017-11-17,17:10:00,237.24,237.24,237.0352,237.0352,45136,0
2017-11-17,17:15:00,237.06,237.06,236.9,237.059,13155,0
2017-11-17,17:20:00,237.06,237.1,237.06,237.06,5990,0
2017-11-17,17:25:00,237.06,237.16,237.02,237.09,12702,0
2017-11-17,17:30:00,237.112,237.15,237.09,237.111,36961,0
2017-11-17,17:35:00,237.12,237.16,237.1,237.14,7260,0
2017-11-17,17:40:00,237.14,237.14,237.01,237.0506,12304,0
2017-11-17,17:45:00,237.03,237.21,237.03,237.2,3998,0
2017-11-17,17:50:00,237.21,237.26,237.19,237.19,8473,0
2017-11-17,17:55:00,237.2,237.2,237.14,237.196,4053,0
2017-11-17,18:00:00,237.195,237.2,237.1,237.2,15733,0
2017-11-17,18:05:00,237.2,237.2,237.11,237.11,4550,0
2017-11-17,18:10:00,237.0982,237.1398,237.08,237.1398,7515,0
2017-11-17,18:15:00,237.14,237.22,237.14,237.22,2053,0
2017-11-17,18:20:00,237.24,237.26,237.221,237.25,6920,0
2017-11-17,18:25:00,237.24,237.26,237.2065,237.2443,5464,0
2017-11-17,18:30:00,237.24,237.3,237.24,237.26,12263,0
2017-11-17,18:35:00,237.3,237.3,237.19,237.24,8621,0
2017-11-17,18:40:00,237.2358,237.28,237.2199,237.28,7941,0
2017-11-17,18:45:00,237.29,237.31,237.23,237.26,18311,0
2017-11-17,18:50:00,237.2768,237.283,237.19,237.19,3561,0
2017-11-17,18:55:00,237.21,237.24,237.169,237.189,8287,0
2017-11-17,19:00:00,237.19,237.27,237.19,237.26,11286,0
2017-11-17,19:05:00,237.2599,237.28,237.18,237.26,13267,0
2017-11-17,19:10:00,237.26,237.26,237.12,237.14,10886,0
2017-11-17,19:15:00,237.14,237.1899,237.14,237.1899,3454,0
2017-11-17,19:20:00,237.1866,237.19,237.1258,237.1258,18040,0
2017-11-17,19:25:00,237.13,237.16,237.1299,237.15,7764,0
2017-11-17,19:30:00,237.08,237.1632,237.08,237.1632,6989,0
2017-11-17,19:35:00,237.16,237.19,237.1276,237.1635,11130,0
2017-11-17,19:40:00,237.1605,237.24,237.15,237.24,18790,0
2017-11-17,19:45:00,237.24,237.24,237.2001,237.2093,5560,0
2017-11-17,19:50:00,237.23,237.2353,237.19,237.19,10010,0
2017-11-17,19:55:00,237.2031,237.24,237.2031,237.239,6524,0
2017-11-17,20:00:00,237.22,237.22,237.171,237.1904,1736,0
2017-11-17,20:05:00,237.18,237.22,237.17,237.2,2748,0
2017-11-17,20:10:00,237.18,237.22,237.15,237.2199,3748,0
2017-11-17,20:15:00,237.22,237.24,237.189,237.1907,4149,0
2017-11-17,20:20:00,237.19,237.19,237.118,237.13,14182,0
2017-11-17,20:25:00,237.169,237.169,237.1164,237.13,24196,0
