Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-16,16:00:00,154.77,154.89,154.04,154.31,3097754,0
2017-05-16,17:00:00,154.31,154.54,153.56,153.79,3699662,0
2017-05-16,18:00:00,153.8,154.3,153.63,154.14,2161061,0
2017-05-16,19:00:00,154.15,154.29,154.06,154.13,1205253,0
2017-05-16,20:00:00,154.13,154.16,153.81,153.99,1743197,0
2017-05-16,21:00:00,153.98,154.21,153.93,154.19,1504264,0
2017-05-16,22:00:00,154.19,154.32,154.04,154.31,3315423,0
2017-05-17,16:00:00,152.45,153.42,152.05,152.05,4968085,0
2017-05-17,17:00:00,152.05,152.32,148.87,149.79,9995863,0
2017-05-17,18:00:00,149.8,151.32,149.65,151.17,6194085,0
2017-05-17,19:00:00,151.17,151.27,150.4,150.8,3110666,0
2017-05-17,20:00:00,150.79,151,149.89,149.9,3398348,0
2017-05-17,21:00:00,149.9,150.22,148.78,149.3,6601842,0
2017-05-17,22:00:00,149.3,149.85,148.59,149.12,11091171,0
2017-05-18,16:00:00,150.14,151.61,150,151.18,6269529,0
2017-05-18,17:00:00,151.19,152.19,151.19,151.47,6345011,0
2017-05-18,18:00:00,151.47,151.71,150.58,150.6,3217492,0
2017-05-18,19:00:00,150.62,151.39,150.44,151.09,2619546,0
2017-05-18,20:00:00,151.09,151.57,150.77,151.27,2393700,0
2017-05-18,21:00:00,151.28,152.07,151.28,151.48,3530192,0
2017-05-18,22:00:00,151.49,151.81,151.27,151.28,4305955,0
2017-05-19,16:00:00,152.23,152.59,151.86,152.11,5858411,0
2017-05-19,17:00:00,152.13,152.68,151.89,152.67,3707124,0
2017-05-19,18:00:00,152.66,152.83,152.06,152.39,2605839,0
2017-05-19,19:00:00,152.39,152.59,152.21,152.49,1553418,0
2017-05-19,20:00:00,152.49,152.55,152.34,152.42,1320427,0
2017-05-19,21:00:00,152.42,152.5,152.11,152.26,2218303,0
2017-05-19,22:00:00,152.25,152.29,151.49,151.81,6780312,0
2017-05-22,16:00:00,152.85,153.43,152.52,152.56,4099224,0
2017-05-22,17:00:00,152.56,152.67,151.76,152.03,4332854,0
2017-05-22,18:00:00,152.03,152.64,151.95,152.51,2096502,0
2017-05-22,19:00:00,152.51,152.87,152.46,152.8,1632021,0
