Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-17,16:00:00,237.32,237.83,236.87,236.95,579847,0
2017-05-17,17:00:00,236.92,237.16,236.17,236.23,2293880,0
2017-05-17,18:00:00,236.25,236.95,236.11,236.93,457593,0
2017-05-17,19:00:00,236.92,236.92,236.42,236.85,311489,0
2017-05-17,20:00:00,236.84,236.85,236.06,236.21,515689,0
2017-05-17,21:00:00,236.16,236.41,235.26,235.74,1018991,0
2017-05-17,22:00:00,235.74,236.11,234.96,235.13,1377985,0
2017-05-18,16:00:00,234.91,235.35,234.63,234.91,528370,0
2017-05-18,17:00:00,234.91,236.2,234.9,235.85,1302896,0
2017-05-18,18:00:00,235.9,236.07,235.36,235.38,238932,0
2017-05-18,19:00:00,235.38,235.87,235.17,235.56,376930,0
2017-05-18,20:00:00,235.59,236.08,235.3,235.94,610986,0
2017-05-18,21:00:00,235.94,236.93,235.94,236.39,657531,0
2017-05-18,22:00:00,236.41,236.56,235.85,235.86,536554,0
2017-05-19,16:00:00,236.52,237.36,236.48,237.18,306794,0
2017-05-19,17:00:00,237.21,237.68,237.17,237.62,267508,0
2017-05-19,18:00:00,237.65,237.78,237.48,237.77,460019,0
2017-05-19,19:00:00,237.78,238.14,237.78,238.04,168864,0
2017-05-19,20:00:00,238.03,238.04,237.83,237.95,155258,0
2017-05-19,21:00:00,237.94,238.28,237.88,238.05,461516,0
2017-05-19,22:00:00,238.04,238.08,237.29,237.56,823739,0
2017-05-22,16:00:00,238.08,238.56,238.04,238.43,224884,0
2017-05-22,17:00:00,238.42,238.58,238.02,238.13,168101,0
2017-05-22,18:00:00,238.12,238.47,238.07,238.46,181983,0
2017-05-22,19:00:00,238.45,238.82,238.44,238.59,210902,0
2017-05-22,20:00:00,238.63,238.75,238.54,238.55,178909,0
2017-05-22,21:00:00,238.55,238.74,238.47,238.63,131241,0
2017-05-22,22:00:00,238.64,238.9,238.6,238.71,572256,0
2017-05-23,16:00:00,239.18,239.21,238.77,238.84,171483,0
2017-05-23,17:00:00,238.85,239.12,238.72,239.06,194914,0
2017-05-23,18:00:00,239.09,239.34,239.03,239.3,192458,0
2017-05-23,19:00:00,239.28,239.43,239.02,239.07,161864,0
2017-05-23,20:00:00,239.05,239.32,239.05,239.21,211289,0
2017-05-23,21:00:00,239.19,239.38,239.08,239.3,214337,0
2017-05-23,22:00:00,239.3,239.4,239.04,239.2,641284,0
2017-05-24,16:00:00,239.52,239.55,239.3,239.39,612725,0
2017-05-24,17:00:00,239.4,239.52,239.25,239.38,117442,0
2017-05-24,18:00:00,239.4,239.49,239.24,239.36,154854,0
2017-05-24,19:00:00,239.37,239.46,239.3,239.39,165228,0
2017-05-24,20:00:00,239.39,239.41,239.25,239.36,94566,0
2017-05-24,21:00:00,239.34,239.72,239.14,239.53,324380,0
2017-05-24,22:00:00,239.55,239.92,239.37,239.8,424544,0
2017-05-25,16:00:00,240.4,240.71,240.16,240.59,163650,0
2017-05-25,17:00:00,240.57,240.99,240.54,240.88,270931,0
